fold,total,baseline_correct,baseline_accuracy,finetuned_correct,finetuned_accuracy,delta
0,43,30,69.77,32,74.42,4.65
1,43,33,76.74,28,65.12,-11.63
2,43,29,67.44,33,76.74,9.3
3,43,28,65.12,29,67.44,2.33
4,43,32,74.42,32,74.42,0.0
