fold,total,baseline_correct,baseline_accuracy,finetuned_correct,finetuned_accuracy,delta
0,101,65,64.36,73,72.28,7.92
1,100,61,61.0,64,64.0,3.0
2,100,59,59.0,62,62.0,3.0
3,100,56,56.0,66,66.0,10.0
4,100,55,55.0,58,58.0,3.0
