fold,total,baseline_correct,baseline_accuracy,finetuned_correct,finetuned_accuracy,delta
0,43,31,72.09,31,72.09,0.0
1,43,31,72.09,34,79.07,6.98
2,43,30,69.77,33,76.74,6.98
3,43,28,65.12,28,65.12,0.0
4,43,32,74.42,29,67.44,-6.98
