fold,total,baseline_correct,baseline_accuracy,finetuned_correct,finetuned_accuracy,delta
0,87,59,67.82,64,73.56,5.75
1,87,57,65.52,64,73.56,8.05
2,87,56,64.37,66,75.86,11.49
3,87,55,63.22,68,78.16,14.94
4,87,59,67.82,63,72.41,4.6
5,87,53,60.92,67,77.01,16.09
6,86,58,67.44,65,75.58,8.14
7,86,49,56.98,64,74.42,17.44
8,86,49,56.98,67,77.91,20.93
9,86,56,65.12,62,72.09,6.98
