fold,total,baseline_correct,baseline_accuracy,finetuned_correct,finetuned_accuracy,delta
0,52,21,40.38,20,38.46,-1.92
1,51,19,37.25,22,43.14,5.88
2,51,16,31.37,17,33.33,1.96
3,51,20,39.22,23,45.1,5.88
4,51,20,39.22,20,39.22,0.0
