fold,total,baseline_correct,baseline_accuracy,finetuned_correct,finetuned_accuracy,delta
0,87,59,67.82,70,80.46,12.64
1,87,57,65.52,71,81.61,16.09
2,87,56,64.37,70,80.46,16.09
3,87,55,63.22,78,89.66,26.44
4,87,59,67.82,70,80.46,12.64
5,87,53,60.92,74,85.06,24.14
6,86,58,67.44,70,81.4,13.95
7,86,49,56.98,70,81.4,24.42
8,86,49,56.98,66,76.74,19.77
9,86,56,65.12,73,84.88,19.77
