fold,total,baseline_correct,baseline_accuracy,finetuned_correct,finetuned_accuracy,delta
0,101,65,64.36,70,69.31,4.95
1,100,61,61.0,68,68.0,7.0
2,100,59,59.0,64,64.0,5.0
3,100,56,56.0,65,65.0,9.0
4,100,55,55.0,58,58.0,3.0
