fold,total,baseline_correct,baseline_accuracy,finetuned_correct,finetuned_accuracy,delta
0,87,59,67.82,66,75.86,8.05
1,87,57,65.52,67,77.01,11.49
2,87,56,64.37,71,81.61,17.24
3,87,55,63.22,66,75.86,12.64
4,87,59,67.82,71,81.61,13.79
5,87,53,60.92,68,78.16,17.24
6,86,58,67.44,71,82.56,15.12
7,86,49,56.98,71,82.56,25.58
8,86,49,56.98,66,76.74,19.77
9,86,56,65.12,70,81.4,16.28
