fold,total,baseline_correct,baseline_accuracy,finetuned_correct,finetuned_accuracy,delta
0,56,40,71.43,30,53.57,-17.86
1,43,33,76.74,31,72.09,-4.65
2,43,29,67.44,28,65.12,-2.33
3,43,28,65.12,28,65.12,0.0
4,43,32,74.42,33,76.74,2.33
