fold,total,baseline_correct,baseline_accuracy,finetuned_correct,finetuned_accuracy,delta
0,43,30,69.77,29,67.44,-2.33
1,43,33,76.74,33,76.74,0.0
2,43,29,67.44,29,67.44,0.0
3,43,28,65.12,32,74.42,9.3
4,43,32,74.42,34,79.07,4.65
