fold,total,baseline_correct,baseline_accuracy,finetuned_correct,finetuned_accuracy,delta
0,87,59,67.82,73,83.91,16.09
1,87,57,65.52,73,83.91,18.39
2,87,56,64.37,70,80.46,16.09
3,87,55,63.22,70,80.46,17.24
4,87,59,67.82,67,77.01,9.2
5,87,53,60.92,72,82.76,21.84
6,86,58,67.44,71,82.56,15.12
7,86,49,56.98,73,84.88,27.91
8,86,49,56.98,72,83.72,26.74
9,86,56,65.12,67,77.91,12.79
