fold,total,baseline_correct,baseline_accuracy,finetuned_correct,finetuned_accuracy,delta
0,43,30,69.77,31,72.09,2.33
1,43,33,76.74,29,67.44,-9.3
2,43,29,67.44,31,72.09,4.65
3,43,28,65.12,30,69.77,4.65
4,43,32,74.42,32,74.42,0.0
