fold,total,baseline_correct,baseline_accuracy,finetuned_correct,finetuned_accuracy,delta
0,101,65,64.36,66,65.35,0.99
1,100,61,61.0,65,65.0,4.0
2,100,59,59.0,65,65.0,6.0
3,100,56,56.0,69,69.0,13.0
4,100,55,55.0,62,62.0,7.0
